Тип,Площадь (м^2),Этаж,Всего этажей,Станция,Время до станции (мин),Пешком?,Улица,Цена в день (руб.),С залогом?,Залог (руб.)
студия,30,9,19,приморская,7,False,бульвар вилькицкий,1400,True,3000
студия,27,5,5,чернышевская,11,True,улица чайковского,2300,True,3000
2-комн. апарт.,60,2,4,гостиный двор,3,True,садовая улица,3000,True,5000
2-комн. кв.,44,3,12,ленинский проспект,6,False,московское шоссе,1499,False,0
1-комн. кв.,16,2,3,площадь восстания,15,True,мытнинская улица,1400,False,0
1-комн. кв.,22,2,6,маяковская,4,True,стремянная улица,2050,False,0
1-комн. апарт.,8,16,26,проспект ветеранов,18,False,улица маршала казакова,3500,True,3000
1-комн. апарт.,16,1,1,санкт-петербург (московский вокзал),18,True,пушкинская улица,1450,True,3000
1-комн. кв.,24,1,6,площадь восстания,8,True,4-я советская улица,1900,True,2000
апартаменты-студия,15,1,6,горный институт,16,True,косая линия,1600,True,2000
1-комн. кв.,44,4,9,фрунзенская,9,True,улица егорова,2300,True,3000
1-комн. кв.,15,1,4,санкт-петербург (финляндский вокзал),4,False,улица комиссара смирнова,1400,False,0
1-комн. апарт.,28,2,4,достоевская,5,True,улица ломоносова,3500,False,0
1-комн. апарт.,24,2,5,достоевская,4,True,улица ломоносова,2500,False,0
2-комн. кв.,50,2,6,площадь восстания,6,True,гончарная улица,3000,True,3000
студия,30,12,19,приморская,4,False,бульвар головнина,1652,True,1652
1-комн. апарт.,17,4,4,петроградская,3,True,большая пушкарская улица,2500,False,0
студия,29,5,9,нарвская,10,True,улица швецова,1900,True,3000
2-комн. кв.,64,7,15,фрунзенская,8,True,заозерная улица,2800,True,3000
1-комн. кв.,31,3,3,маяковская,10,True,литейный проспект,1700,False,0
студия,40,4,5,площадь восстания,6,True,улица жуковского,1800,False,0
апартаменты-студия,18,1,5,владимирская,5,True,улица достоевского,1700,False,0
студия,23,5,7,балтийская,5,True,улица шкапина,1700,True,5000
1-комн. кв.,10,2,6,санкт-петербург (витебский вокзал),17,True,6-я красноармейская улица,1625,False,0
1-комн. кв.,38,3,4,владимирская,5,True,дмитровский переулок,2200,True,5000
студия,14,1,6,лиговский проспект,7,True,лиговский проспект,1990,True,3000
3-комн. кв.,100,14,25,пионерская,2,True,коломяжский проспект,3500,False,0
1-комн. кв.,35,6,6,санкт-петербург (финляндский вокзал),5,False,улица куйбышева,1700,False,0
студия,42,3,25,пионерская,4,True,коломяжский проспект,7000,True,5000
1-комн. кв.,42,22,25,пионерская,2,True,коломяжский проспект,2100,False,0
апартаменты-студия,17,10,14,лесная,1,False,большой сампсониевский проспект,1600,True,3000
1-комн. апарт.,25,1,1,санкт-петербург (московский вокзал),18,True,пушкинская улица,1571,True,3000
студия,27,7,15,приморская,7,False,бульвар вилькицкий,1300,True,2000
1-комн. апарт.,28,4,10,лиговский проспект,8,True,социалистическая улица,2500,True,2000
1-комн. кв.,34,6,25,удельная,7,True,фермское шоссе,1900,True,3000
1-комн. апарт.,23,1,1,санкт-петербург (витебский вокзал),20,True,гороховая улица,1690,True,2000
1-комн. апарт.,30,2,5,достоевская,4,True,улица ломоносова,2500,False,0
1-комн. кв.,21,1,6,достоевская,2,True,улица рубинштейна,2000,True,2000
2-комн. кв.,70,4,4,спасская,4,True,садовая улица,2700,True,5000
1-комн. кв.,50,1,1,санкт-петербург (московский вокзал),5,False,таврическая улица,1708,False,0
студия,23,6,7,балтийская,5,True,улица шкапина,1900,True,5000
1-комн. кв.,50,8,15,фрунзенская,9,True,заозерная улица,2200,True,3000
1-комн. кв.,28,3,10,лиговский проспект,7,True,социалистическая улица,3000,True,2000
1-комн. кв.,10,2,6,санкт-петербург (витебский вокзал),17,True,6-я красноармейская улица,1625,False,0
1-комн. кв.,45,15,25,пионерская,2,True,коломяжский проспект,2100,False,0
апартаменты-студия,27,21,23,звездная,17,True,пулковское шоссе,1500,True,2000
1-комн. кв.,60,2,5,сенная площадь,7,True,переулок апраксин,7000,True,7000
1-комн. кв.,35,6,6,санкт-петербург (финляндский вокзал),5,False,улица куйбышева,1700,False,0
1-комн. апарт.,18,3,4,маяковская,4,True,невский проспект,3500,False,0
2-комн. кв.,50,2,5,маяковская,8,True,невский проспект,5000,True,5000
2-комн. кв.,60,2,5,достоевская,3,True,улица рубинштейна,4705,True,7000
студия,27,9,12,проспект ветеранов,12,False,проспект ветеранов,1888,True,1888
4-комн. кв.,85,3,6,гостиный двор,2,True,малая садовая улица,5000,False,0
2-комн. кв.,70,4,5,лиговский проспект,6,True,лиговский проспект,2600,True,5000
1-комн. кв.,48,8,9,нарвская,10,True,улица швецова,2400,True,3000
1-комн. кв.,48,4,5,чернышевская,9,True,переулок басков,1990,False,0
апартаменты-студия,24,16,22,звездная,16,True,пулковское шоссе,1500,True,2000
3-комн. кв.,105,2,5,чернышевская,15,True,таврическая улица,4555,True,7000
апартаменты-студия,8,10,18,бухарестская,3,True,улица салова,2490,True,2490
студия,18,3,5,маяковская,4,True,пушкинская улица,1875,True,1875
1-комн. кв.,40,3,5,невский проспект,5,True,набережная канала грибоедова,2600,True,2600
1-комн. апарт.,18,3,4,маяковская,4,True,невский проспект,3000,False,0
2-комн. кв.,47,1,5,елизаровская,4,True,улица ольги берггольц,2400,True,2500
1-комн. кв.,30,3,4,садовая,3,False,проспект римского-корсакова,1990,False,0
1-комн. апарт.,15,1,5,площадь восстания,16,True,мытнинская улица,1500,False,0
1-комн. кв.,40,17,20,пролетарская,8,True,улица бабушкина,2000,True,3000
студия,25,9,10,василеостровская,4,False,26-я васильевского острова линия,2300,True,3000
студия,33,7,22,ладожская,5,False,проспект ударников,2000,True,2000
1-комн. апарт.,27,7,10,лиговский проспект,7,True,социалистическая улица,4500,False,0
3-комн. кв.,100,5,6,площадь александра невского,7,True,невский проспект,3000,True,5000
студия,37,2,4,гостиный двор,3,True,садовая улица,1900,True,3000
1-комн. кв.,39,8,25,удельная,4,False,проспект королева,2076,False,0
1-комн. кв.,42,12,16,звездная,5,True,проспект космонавтов,1700,True,5000
